"country","ohi_plus","phase","map_display","display","lat","lon"
"Spain - Bay of Biscay","YES","active","point","<a href=""#Spain-Bay-of-Biscay"">Spain - Bay of Biscay</a>",43.318334,-1.981231
"Spain - Ria de Vigo","YES","active","point","<a href=""#Spain-Ria-de-Vigo"">Spain - Ria de Vigo</a>",42.878213,-8.544844
"Spain - Gulf of Cadiz","YES","active","point","<a href=""#Spain-Bay-of-Biscay"">Spain - Gulf of Cadiz</a>",36.527061,-6.288596
"United States - Hawaii","YES","active","point","<a href=""#US-Hawaii"">US - Hawaii</a>",19.896766,-155.582782
"New Caledonia","YES","active","point","<a href=""#New-Caledonia"">New Caledonia</a>",-21.566935,165.498552
"South Korea","YES","active","point","<a href=""#South-Korea"">South Korea</a>",35.907757,127.766922
"Samoa","YES","active","point","<a href=""#Samoa"">Samoa</a>",-13.833333,-171.75
"Indonesia - Bali","YES","active","point","<a href=""#Indonesia-Bali"">Indonesia - Bali</a>",-8.409518,115.188919
"Madagascar","YES","active","point","<a href=""#Madagascar"">Madagascar</a>",-18.766947,46.869107
"Mexico","YES","active","point","<a href=""#Mexico"">Mexico</a>",21.5638,-105.629886
"United States - Northeast","NO","active","point","<a href=""#US-Northeast"">US - Northeast</a>",41.699096,-70.320911
"Canada - Atlantic","YES","active","point","<a href=""#Canada-Atlantic"">Canada - Atlantic Coast </a>",48.524444,-64.21268
"Peru","YES","active","point","<a href=""#Peru"">Peru</a>",-12.995191,-77.01416
"Kenya","YES","active","point","<a href=""#Kenya"">Kenya</a>",-2.604236,41.11084
"Tanzania","YES","active","point","<a href=""#Tanzania"">Tanzania</a>",-7.374724,39.660645
"United Kingdom – Cornwall","YES","active","point","<a href=""#United-Kingdom-Cornwall"">United Kingdom – Cornwall</a>",50.262951,-5.0507
"Norway","YES","active","point","<a href=""#Norway"">Norway</a>",69.798689,19.459257
